,tweet_text,cyberbullying_type,lang,score,y,processed
234,@ANDAASONSAN https://t.co/dtjOHnRNhQ,not_cyberbullying,en,0.9999979329933322,0,@ @link@
727,@thain1982 http://t.co/2AXPNlSIkg,not_cyberbullying,en,0.9999970852862812,0,@ @link@
988,@x2xMiZoZoR3x2x http://t.co/BgDMZLaJSj,not_cyberbullying,en,0.9999977387265272,0,@ @link@
1026,"Seu merda - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/zqKtt9U",not_cyberbullying,en,0.9999987979383034,0,seu merda - isso é bullying - só se for com a merda @link@
1194,http://t.co/f2NxFZ8VTz,not_cyberbullying,en,0.9999973572427036,0,@link@
1208,@MelBiebs69 @halalflaws @biebervalue @greenlinerzjm Tell me what your Quran 33:33 says?,not_cyberbullying,en,0.99999584933057,0,@ @ @ @ tell me what your quran 3333 says
1344,@olaoliv http://t.co/6PmFc7kdYh,not_cyberbullying,en,0.9999963141858428,0,@ @link@
1474,"Our pancakes are selling like hotcakes Shaz - yes, yes they are Jac! We wish we could sample some! #MKR #tvweekmag",not_cyberbullying,en,0.9999952893231838,0,our pancakes are selling like hotcakes shaz - yes yes they are jac we wish we could sample some mkr tvweekmag
1517,"Seu merda - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/uKK3hCf",not_cyberbullying,en,0.7074443137370003,0,seu merda - isso é bullying - só se for com a merda @link@
1777,http://t.co/6zVcnnkDXO.,not_cyberbullying,en,0.9999968695099624,0,@link@
2015,"Hoje, 17 adolescentes vão tirar suas próprias vidas, devido ao bullying. - › Reblog se você se importa. › ›... http://tumblr.com/x4h3xmk6hq",not_cyberbullying,en,0.9999973030647412,0,hoje 17 adolescentes vão tirar suas próprias vidas devido ao bullying - › reblog se você se importa › › @link@
2187,"Dou um empurrão em uma pessoa, isso se chama : - › EU : Empurrão. › › SOCIEDADE : Bullying ! http://t.co/09hVKp5",not_cyberbullying,en,0.9999970674534836,0,dou um empurrão em uma pessoa isso se chama  - › eu  empurrão › › sociedade  bullying  @link@
2276,@Te4m_NiGhtM4Re http://t.co/5Ih7MkDbQG,not_cyberbullying,en,0.99999504551188,0,@ @link@
