,tweet_text,cyberbullying_type,lang,score,y,tweet_length
1102,"@EurekAlertAAAS: Researchers push to import top anti-bullying program to US schools http://t.co/UPZrMbl
@NomCookiesNom Instead of personal attacks, maybe you can explain why there are more than 100 Islamic terrorist groups.
@_Finessinfool yea imma bring in tomorrow
#mkr I think Colin might not be a fan of the meatballs.
@KatieBatterman yeah, we should talk. I was just about to send an email over to them right before I was told it was retracted.
I'm not a fan of the bears from QLD. 💩 #MKR
@eDRoaCH @orvtech this isn't de-anonymizing. the phone # wouldn't necessarily be stored. no names would be required.
@owlcity hey adam :) I've been to 2 of your concerts &amp; haven't been allowed to meet you. when will I be able to?
Me: The boat or the thing that melts Nazi faces?
Watching a video of the snowman play from primary school! Go Tanners Wood haha #oldschool
@eranubuwah @352_7538 Taking tiny villages while loosing major cities like Tikrit.
Sofro Bulling No Chat u_u
@greenlinerzjm The best Muslims are the ones who ignore most of what is in the Quran and Hadiths. ISIS doesn't ignore any of it.
This kid in my science class got the iPod 4th over the 5th.. That's so stupid
@danaleigh92 pretty sure me and mama will know all the words to #NightTrain by the time we get home👍☺ because we can't listen to Luke 💔👎
@thaumatropia too late, i'm literally blue. no taksies backsies.
.@BenKuchera I CAN PROGRAM IT TO DO MANY THINGS RABDAFGTSERdfwgradggrtybgbawfhghddsfdtgtgbwjdserdfggvssadfrwqVXXSDF https://t.co/fLjADoHL24
@KellyTurner99 @buellerishere ... That's one example of self genocide for the sake of pandering to left wing idiotology.
#10PeopleYouTrulyLove Mom
@MarloThomas: Too many children are dying from #bullying! I hope this new law in New Jersey helps: http://t.co/Rr47y6m""",not_cyberbullying,en,0.9999972655932284,0,1809
2537,"He embellished the afternoon with moustachioed feints &amp; flicks. By throwing him an England shirt Mercer made a statement about the game
Zoe is rocking the stage. http://t.co/mpXlDSBPBh
ANOTHER home visits round?! i'm literally fucking done #MKR
Today has finally arrived #GKMC
IM FUCKING GOING TO SAN FRANCISCO ON TUESDAY!!!!!!!!!!!!
IM ON THE EDGE... OF GLORY
@nizarnayouf There were no US commandos.
I hate these girls, far out. #mkr
RT @Oh_tobs: Bless I totally forgot about the party favourite Shaz... #MKR
I went old school and changed my other account's name back to @StaceGots which was my original Twitter name back in 08/09.
@GladysMcGee18 +FACE THE DREGS OF HUMANITY, SEE HOW TRULY FOUL THEY ARE AND FIGHT BACK
So FUCK ROBERT A DOUGLASS
Bully beatdown got a girl bully this time.
@UKBrawlers i can't
Feeling so sorry for the girls, they should be safe and Kat and Andre should be going home #MKR
My Patreon is acting weird. Just got a monthly payment (yay!) but when I go to how I get paid"", it says I need to become a creator.",not_cyberbullying,en,0.9999969995764932,0,1056
4054,"@andrea_gcav: @viviaanajim recuerdas como nosotras también eramos victimas del bullying/ jajaja callate marce! Cuando? Nosotras bulleabamos
@SadSuspenders I'm a shark. But you're super cute too!
Sick of the word Sassy!! #mkr
Nap time until lunchtime
RT @infamousKlaus: #Shingal :#HPG/#YBS: .... bomb laden vehicle destroyed today morning / at least 8 #ISIS terrorists killed today  #sinja…
I'm so sick of #MKR and the ridiculous scoring methods. I don't buy it. #MKR
RT @Msloulou77: We have hope but no cooking ability. Well, that's a winning combo. #MKR
If you don't like doing nice things for your female significant other and find it a chore to do once a year, you probably don't love them.
RT @simonefiasco: I'm being attacked by black feminist twitter"" loosely translates to ""I said something terrible &amp; women are explaining wh…",not_cyberbullying,en,0.9999963910898214,0,845
6710,"I always get fucking pissed when I see a man joke about the sexual abuse of another man. “Wow. Please she should come &amp; rape me too, some of us want.” “Mans is complaining. Nigga you gay? ” What foolishness, mocking and minimizing someone's pain for bants. Are you okay at all?",gender,en,0.9999946011251524,1,281
6791,"I posted about a problematic drag queen that made a rape joke at Queer Junction in Sheffield &amp; the terrible customer service that followed by someone working for them who also maliciously misgendered me &amp; said that I ‘shun the gay world’ - what a way to run a business, huh?",gender,en,0.9999975306223576,1,282
6859,I love Boondocks slander let's talk about how Gay Black men &amp; homosexuality were portrayed negatively the entire show. All the GBM characters were villains and/or some sort perverted deviant. It was mad homophobic. And McGruder's obsession with gay rape as a joke was just weird.,gender,en,0.8571386965418861,1,283
6898,"he beat women and a gay man almost to death. he tried to kill and rape his girlfriend with a pitchfork. dumb kpop jokes are the very LEAST of what he deserves. he doesn’t need anyone to defend his EVIL, misogynistic, homophobic, rapist ass but thanks anyway https://twitter.com/valentaevibes/status/1008839625027268608",gender,en,0.9999950570412456,1,318
6926,"Yeah, but he already had his brain damaged. He might not have been able to be saved at all. What makes it worse, kid was 14, naked, Dahmer says it was his lover & they fighting. Cops make jokes abouts gays &amp; rape &amp; let him go. Kid was killed that night. Dahmer kept the head.",gender,en,0.999996941869964,1,283
6999,"You can either choose to host a fascist who is perpetuating brutal state violence against Indigenous people & Afro-Brazilians, who jokes about rape, and who has nothing but contempt for women, trans people, &amp; gay people, or you can NOT. Your choice is clear &amp; we won’t forget.",gender,en,0.9999972833760644,1,284
7198,"The Today programme on BBC Radio 4 has reached a new low by inviting homophobic and sexist Tory, Toby Young, on the show to defend Theresa May’s new housing tsar, Roger Scruton - a racist far-right figure who also hates gays and thinks date rape is not a crime #R4Today pic.twitter.com/LnVFzSqJQq",gender,en,0.9999976248283456,1,296
7273,"A male prison rape joke can be seen as just a rape joke tho, &amp; I think most people see it that way. My generation being raised after S28, being taught that being gay is completely normal, is way less likely to see that joke from a homophobic angle, than a generation brought up w/",gender,en,0.9999959965713108,1,284
7475,"Exactly her idea is sexist &amp; problematic &amp; doesn’t take into account rape, gay women &amp; trans men. We should not have to use our bodies as leverage to gain bodily autonomy. We deserve bodily autonomy &amp; should protest for it &amp; we should not have to use sex as a bargaining chip.",gender,en,0.999997710417842,1,296
7477,"Hopefully this will begin to die down soon, in some spaces at least, see ppl aren't making prison rape jokes like they used to, &amp; it's crazy how the standard deviations around the usage of 'gay' as an insult have shifted. Otoh, more essentialism &amp; transphobia, so backlash as ever",gender,en,0.9999967784959654,1,288
7508,"I like to remind people that 90% of people in detention are male. It's the male anatomy, sorry, girls. They gotta go ""home"".. It's the same with this ""nation"" of sexist idiots who think of women like cattle. It was Jewish gay-boys.. ""Gay is the way"" in a persuasive rape.. pic.twitter.com/bToOWaQoQt",gender,en,0.9999944554083464,1,299
7553,"Sexiest man alive likes to 'make jokes about gays and lesbians', date rape and so on. 2017. Sexy. Not. http://cheezburger.com/4020997/blake-sheltons-racist-and-homophobic-tweets-resurface-following-his-sexiest-man-alive-award#utm_source=social-share&amp;utm_medium=twitter via @cheezburger",gender,en,0.9999969442551344,1,289
7720,"It’s not. Women decided it was the man’s replacement for “bitch” &amp; ran with it. Now using “female“ does reduce a woman to their genitalia (vagina=female, penis=male) &amp; no one calls us “males” so that can seem inconsistent &amp; reductive. Insult? No. Not the preferred label? Sure.",gender,en,0.999995353362068,1,289
7740,Anita Hill LMFAO. Ya she's real credible...... #ResignAlFranken 3 women now. Rape jokes. Joking about being glad when a gay is killed... In a few days Hans-Brinker won't be able to save Franken-stein. Here comes the flood.... https://twitter.com/MelMorgan1350/status/931322577179459584,gender,en,0.9999961004653336,1,285
7759,"NOT TRUE. Check the official transcript! #FactsDontLie Female Journalist Calls White House Press Secretary Kayleigh McEnany a ""Lying Bitch."" - Santa Monica Observer https://www.smobserved.com/story/2020/07/22/news/female-journalist-calls-white-house-press-secretary-kayleigh-mcenany-a-lying-bitch/4777.html",gender,en,0.9999984826810928,1,306
7781,"Joey's a joke, but not funny. Because Joey's an ignorant Nazi tool *wannabe* who lives &amp; tweets for 'likes' from Rump &amp; Rumpubs like gay rape coverup 'coach' &amp; a JOKE &amp; shamockery maker of our great institution of the House, of which, unlike Pelosi (twice) he will NEVER lead.",gender,en,0.9999958067485676,1,292
