,true,pred
0,ethnicity,ethnicity
1,other_cyberbullying,other_cyberbullying
2,age,age
3,religion,religion
4,religion,religion
5,religion,religion
6,gender,other_cyberbullying
7,gender,gender
8,age,age
9,not_cyberbullying,not_cyberbullying
10,ethnicity,ethnicity
11,other_cyberbullying,other_cyberbullying
12,gender,gender
13,ethnicity,ethnicity
14,not_cyberbullying,other_cyberbullying
15,not_cyberbullying,not_cyberbullying
16,age,age
17,religion,religion
18,religion,religion
19,other_cyberbullying,not_cyberbullying
20,not_cyberbullying,other_cyberbullying
21,age,age
22,gender,gender
23,age,age
24,gender,gender
25,gender,gender
26,other_cyberbullying,other_cyberbullying
27,religion,religion
28,religion,religion
29,not_cyberbullying,not_cyberbullying
30,age,age
31,other_cyberbullying,other_cyberbullying
32,religion,religion
33,ethnicity,ethnicity
34,gender,gender
35,gender,gender
36,ethnicity,ethnicity
37,not_cyberbullying,other_cyberbullying
38,ethnicity,ethnicity
39,not_cyberbullying,other_cyberbullying
40,ethnicity,ethnicity
41,gender,gender
42,not_cyberbullying,not_cyberbullying
43,age,age
44,gender,gender
45,ethnicity,ethnicity
46,ethnicity,ethnicity
47,age,age
48,ethnicity,ethnicity
49,religion,religion
50,ethnicity,ethnicity
51,religion,religion
52,ethnicity,ethnicity
53,religion,religion
54,ethnicity,ethnicity
55,not_cyberbullying,ethnicity
56,ethnicity,ethnicity
57,gender,gender
58,religion,religion
59,ethnicity,ethnicity
60,religion,religion
61,religion,religion
62,not_cyberbullying,not_cyberbullying
63,gender,gender
64,gender,gender
65,gender,gender
66,gender,gender
67,religion,religion
68,age,age
69,ethnicity,ethnicity
70,ethnicity,ethnicity
71,other_cyberbullying,not_cyberbullying
72,gender,gender
73,religion,religion
74,age,age
75,other_cyberbullying,other_cyberbullying
76,gender,gender
77,ethnicity,ethnicity
78,age,age
79,age,age
80,other_cyberbullying,other_cyberbullying
81,other_cyberbullying,other_cyberbullying
82,religion,religion
83,ethnicity,ethnicity
84,religion,religion
85,age,age
86,religion,religion
87,gender,gender
88,ethnicity,ethnicity
89,not_cyberbullying,not_cyberbullying
90,ethnicity,ethnicity
91,religion,religion
92,ethnicity,ethnicity
93,age,age
94,gender,gender
95,gender,gender
96,age,age
97,other_cyberbullying,other_cyberbullying
98,gender,gender
99,other_cyberbullying,other_cyberbullying
100,ethnicity,ethnicity
101,religion,religion
102,not_cyberbullying,not_cyberbullying
103,ethnicity,ethnicity
104,age,age
105,religion,religion
106,age,age
107,ethnicity,ethnicity
108,ethnicity,ethnicity
109,religion,religion
110,ethnicity,ethnicity
111,ethnicity,ethnicity
112,other_cyberbullying,other_cyberbullying
113,gender,gender
114,age,age
115,age,age
116,age,age
117,gender,other_cyberbullying
118,ethnicity,ethnicity
119,age,age
120,age,age
121,not_cyberbullying,gender
122,gender,gender
123,gender,gender
124,age,age
125,religion,religion
126,ethnicity,ethnicity
127,gender,gender
128,gender,gender
129,religion,religion
130,ethnicity,ethnicity
131,ethnicity,ethnicity
132,ethnicity,ethnicity
